City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,qaqortoq,60.7167,-46.0333,43.52,53,3,13.44,GL,1686240642
121,ishigaki,24.3448,124.1572,79.38,83,13,15.75,JP,1686240642
122,merizo village,13.2658,144.6691,82.13,83,100,7.83,GU,1686240642
123,horta,38.5333,-28.6333,69.44,73,40,11.5,PT,1686240642
124,ancud,-41.8697,-73.8203,49.08,77,97,17.94,CL,1686240642
125,kodiak,57.79,-152.4072,47.71,87,100,5.75,US,1686240642
126,georgetown,5.4112,100.3354,85.95,74,20,1.14,MY,1686240551
127,fisterra,42.9049,-9.2629,68.76,89,89,14.05,ES,1686240642
128,la'ie,21.6477,-157.9253,75.16,78,76,12.5,US,1686240643
129,qamdo,31.1667,97.2333,45.99,54,74,7.34,CN,1686240643
130,isangel,-19.55,169.2667,69.89,63,4,7.65,VU,1686240643
131,east london,-33.0153,27.9116,69.31,50,23,8.75,ZA,1686240643
132,nueva concepcion,14.2,-91.3,87.22,61,64,3.06,GT,1686240643
133,tazovsky,67.4667,78.7,41.74,62,100,17.25,RU,1686240643
134,semenov,56.7875,44.493,57.33,67,23,3.98,RU,1686240643
135,cockburn town,21.4612,-71.1419,82.72,83,91,14.0,TC,1686240643
136,ola,59.5833,151.2833,38.89,89,10,2.82,RU,1686240643
137,maceio,-9.6658,-35.7353,83.64,65,75,10.36,BR,1686240644
138,queenstown,-31.8976,26.8753,54.45,47,21,14.32,ZA,1686240644
139,constantia,44.1833,28.65,74.08,65,83,8.37,RO,1686240644
140,santa marta de ortigueira,43.6833,-7.85,64.94,96,94,8.16,ES,1686240644
141,rongelap,11.1635,166.8941,81.72,80,98,23.06,MH,1686240644
142,candido mendes,-1.4467,-45.7167,84.4,71,18,6.33,BR,1686240644
143,olonkinbyen,70.9221,-8.7187,36.34,95,100,21.0,SJ,1686240644
144,papatowai,-46.5619,169.4708,39.34,91,39,4.03,NZ,1686240644
145,crane,31.3974,-102.3501,78.49,38,14,1.74,US,1686240645
146,nuuk,64.1835,-51.7216,36.21,75,75,2.3,GL,1686240645
147,torrington,41.8007,-73.1212,65.05,73,99,4.0,US,1686240645
148,mahina,-17.5065,-149.489,74.97,64,20,8.05,PF,1686240618
149,oriximina,-1.7656,-55.8661,89.64,54,8,6.33,BR,1686240645
150,el granada,37.5027,-122.4694,67.86,74,0,10.36,US,1686240645
151,bikenibeu village,1.3673,173.1241,82.29,79,100,12.55,KI,1686240645
152,nemuro,43.3236,145.575,51.57,100,100,7.16,JP,1686240645
153,troitsko-pechorsk,62.7084,56.1964,48.74,50,77,4.56,RU,1686240645
154,muynoq,43.7683,59.0214,73.98,35,100,2.98,UZ,1686240646
